01845=NORTH ANDOVER, MA
01850=LOWELL, MA
01851=LOWELL, MA
01852=LOWELL, MA
01854=LOWELL, MA
01860=MERRIMAC, MA
01862=NORTH BILLERICA, MA
01863=NORTH CHELMSFORD, MA
01864=NORTH READING, MA
01867=READING, MA
01876=TEWKSBURY, MA
01879=TYNGSBORO, MA
01880=WAKEFIELD, MA
01886=GRANITEVILLE, MA
01887=WILMINGTON, MA
01890=WINCHESTER, MA
99778=TELLER, AK
99780=BORDER, AK
99781=VENETIE, AK
99782=WAINWRIGHT, AK
99783=WALES, AK
99784=WHITE MOUNTAIN, AK
99785=BREVIG MISSION, AK
99786=AMBLER, AK
99788=CHALKYITSIK, AK
99789=NUIQSUT, AK
99801=JUNEAU, AK
99820=ANGOON, AK
99824=DOUGLAS, AK
99826=GUSTAVUS, AK
99827=HAINES, AK
99829=HOONAH, AK
99833=PETERSBURG, AK
99835=SITKA, AK
99840=SKAGWAY, AK
99901=KETCHIKAN, AK
99919=THORNE BAY, AK
99921=CRAIG, AK
99922=HYDABURG, AK
99923=HYDER, AK
99925=KLAWOCK, AK
99926=METLAKATLA, AK
99927=POINT BAKER, AK
99929=WRANGELL, AK
99950=KETCHIKAN, AK
